prefLabel_en;altLabel_en
Chinese province;China province
Chinese province; province of China
virus;viral pathogen
virus; viruses
positive-strand RNA virus;+ssRNA virus
positive-strand RNA virus; +ssRNA viruses
virion;viral particle
virion; virus particle
spike protein;S glycoprotein
spike protein; S protein
spike protein; peplomer
spike protein; spike (S) glycoprotein
spike protein; spike (S) protein
spike protein; spike glycoprotein
spike protein; spike surface envelope glycoprotein (S)
spike protein; spike surface glycoprotein
emerging coronavirus;emerging coronaviruses
zoonotic virus;zoonotic viral pathogen
genome;genomic data
genome; genomic features
genetic variation;genetic diversity
recombination;genetic reshuffling
open reading frame;ORF
open reading frame; protein coding region
ORF1;open reading frame 1
RNA;ribonucleic acid
viral RNA;viral ribonucleic acid
positive sense single stranded RNA;positive-sense single-stranded RNA genome
positive sense single stranded RNA; positive-sense single-stranded genomic RNA
positive sense single stranded RNA; postive strand RNA
positive sense single stranded RNA; single-stranded
positive sense single stranded RNA; positive-sense RNA
phylogenetic analysis;phylogenetic assessment
phylogenetic analysis; phylogenetic study
Nidovirales;nidovirus
Coronavirinae;CoV
Coronavirinae; CoVs
Coronavirinae; corona virus
Coronavirinae; corona viruses
Coronavirinae; coronavirus
Coronavirinae; coronaviruses
human coronavirus;HCoV
human coronavirus; HCoVs
human coronavirus; human CoV
human coronavirus; human CoVs
alphacoronavirus;Alphacoronaviruses
alphacoronavirus; alpha CoV
alphacoronavirus; alpha-CoV
alphacoronavirus; alphaCoV
HCoV-229E;HCoV 229E
HCoV-229E; human CoV 229E
HCoV-229E; human coronavirus 229E
HCoV-229E; human coronavirus-229E strain
HCoV-NL63;HCoV NL63
HCoV-NL63; human CoV NL63
HCoV-NL63; human coronavirus NL63
betacoronavirus;Beta-CoV
betacoronavirus; BetaCoV
betacoronavirus; beta coronavirus
betacoronavirus; beta-coronaviridae family
betacoronavirus; beta-coronavirus
betacoronavirus; betacoronaviruses
betacoronavirus; group 2 coronavirus
betacoronavirus; ?-CoV
betacoronavirus; ?-coronavirus
betacoronavirus; ?CoV
betacoronavirus lineage A;EmbeCoVirus
betacoronavirus lineage A; beta-CoV lineage A
betacoronavirus lineage A; betacoronavirus phylogenetic lineage A
betacoronavirus lineage A; lineage A
HCoV-OC43;HCoV OC43
HCoV-OC43; human CoV OC43
HCoV-OC43; human coronavirus OC43
HCoV-HKU1;HCoV HKU1
HCoV-HKU1; human CoV HKU1
HCoV-HKU1; human coronavirus HKU1
betacoronavirus lineage B;beta-CoV lineage B
betacoronavirus lineage B; betacoronavirus phylogenetic lineage B
betacoronavirus lineage B; lineage B
betacoronavirus lineage B; sarbeCoVirus
SARS-CoV;SARS Virus
SARS-CoV; SARS associated coronavirus
SARS-CoV; SARS coronavirus
SARS-CoV; SARS related coronavirus
SARS-CoV; SARS-CoV-1
SARS-CoV; SARS-CoV1
SARS-CoV; SARS-HCoV
SARS-CoV; SARS-associated coronavirus
SARS-CoV; SARS-coronavirus
SARS-CoV; SARS-related coronavirus
SARS-CoV; Urbani SARS associated coronavirus
SARS-CoV; Urbani SARS-associated coronavirus
SARS-CoV; Urbani strain of SARS-associated coronavirus
